org_id,name,objective,services,contactable,phone_number,email,website,address,latitude,longitude,opening_hours,hotline,facebook,linkedin,twitter,youtube,instagram,tiktok,flicker,sound_cloud,other
16,Student and Youth Traveler Organization (SYTO),Supporting youth issues with a particular focus on cultural and academic exchanges and the role that youth can play in community development.,"Exchange and travelling opportunities for students and , providing volunteers to other NGOs and projects, training",FALSE,338257429,sytosen@orange.sn,https://sytosenegal.org/," 558, SICAP Baobabs à côté de la Mairie
BP 25075 Dakar-Fann SENEGAL","14,70534336","-17,4628403",,,https://web.facebook.com/SYTOSENEGAL,,https://twitter.com/sytosenegal/,,https://www.instagram.com/syto_senegal,,,,
17,TrustAfrica,TrustAfrica seeks to strengthen African initiatives that address the most difficult challenges confronting the continent. TrustAfrica works principally through collaboration and partnership with like-minded institutions and donors. ,"Grants, collaborative support of iniatives",TRUE,33 869 46 86/33 824 15 67,info@trustafrica.org,https://www.trustafrica.org/,"Lot 4, Almadies Ngor, Dakar Sénégal","14,73871415","-17,51310869",,,http://www.facebook.com/trustafrica,,https://twitter.com/trustafrica,http://www.youtube.com/trustafrica,,,,,
18,UCJG/YMCA-SENEGAL,"To work for the development of an accomplished young person, responsible in their family, a leader in their generation and involved in their community","Training, forums, support for initiatives in agriculture, employement opportunities for youth, camps for children",TRUE,33 824 13 85,ymcasenegal@ymcasenegal.org,http://www.ymcasenegal.org/,"Avenue Bourguiba x Rue 12, Ben Tally Sénégal","14,71784816","-17,45057627",,,,,https://twitter.com/ymcasenegal,https://www.youtube.com/channel/UCs8s6DGSi6SiotMa9qyokSA,,,,,
19,SOS Village,"Giving a family to children in need, helping them build their own future and participate in the development of local communities.","Family-type care for children who have lost their parents

Support for vulnerable families and communities aiming to strengthen them and prevent child abandonment

Material support, daycare, education and counselling services",TRUE,"33 824 76 82 (Dakar)

33 941 26 26 (Kaolack)

33 967 15 19 (Louga)

76 300 26 29 (Tamba)

33 992 50 78 (Ziguinchor)
","dakar@sos-senegal.sn (Dakar)

vesoskl@orange.sn (Kaolack)

pas@demail.com (Louga)

tamba@sos-senegal.sn (Tamba)

vesoszg@orange.sn (Ziguinchor)
",https://sos-senegal.org/,"Senegal Bureau National Ave Bourguiba X Allées Seydou Nourou TALL B.P. 728, Dakar (5,68 km)
BP 728 Dakar, Sénégal","14,71062667","-17,46660466",,,https://web.facebook.com/vesossenegal/?_rdc=1&amp;_rdr,https://www.linkedin.com/company/sos-senegal/,https://twitter.com/soscvsenegal,,,,,,
20,Alima,"ALIMA's goal is to save lives and care for the most vulnerable populations, without any identity, religious or political discrimination, through actions based on proximity, innovation and the alliance of organizations and individuals.","Healthcare for women and children and malnutrition


Capacity building for NGOs and others development actors regarding health
 
Emergency reponse in case of armed conflicts, populations displacements, natural disasters",TRUE,77 855 41 59,office@alima.ngo,https://alima.ngo/,"Routes des Almadies, Lot n° 22 zone 9","14,73898074","-17,51191979",,,https://www.facebook.com/ALIMA.org/,https://fr.linkedin.com/company/alima,https://twitter.com/ALIMA_ORG,https://www.youtube.com/playlist?list=PLf23Sqs-910Wd0fw8f1rcTItwTqZwNHkp,https://www.instagram.com/alima_org,,,,https://alima-ngo.exposure.co/
21,Amnesty International,Create a bridge between the victims of human rights violations and people all over the world who are willing to help defending and protecting their rights.,"Providing stage to be heard by public authorities, media and the opinion",TRUE,338254738,contact@amnesty.sn,www.amnesty.sn,"Sacré cœur 1, villa 8412","14,71714846","-17,46379633",09:00 - 18:00,,https://www.facebook.com/AmnestySenegal,,https://www.twitter.com/AmnestySenegal,https://www.youtube.com/c/AmnestyInternationalS%C3%A9n%C3%A9gal,https://www.instagram.com/AmnestySenegal,,,,
22,BirdLife,"Conservation of nature, the protection of the environment and in particular birds, the promotion of biodiversity and the enhancement of ecosystems natural in Senegal",Researches and advocacy aiming to protect birds and their environment ,FALSE,,birdlife-africa@birdlife.org,https://www.birdlife.org/,,,,09:00 - 18:00,,https://www.facebook.com/BirdLifeInternational,https://www.linkedin.com/company/birdlife-international,https://twitter.com/BirdLife_News,,https://www.instagram.com/birdlife.international/,,,,
23,CISV,"In Senegal, CISV committed to protecting arable land from desertification on the one hand, and the advancing ocean on the other.","Support/creation of new green micro-enterprises that help protect coastal areas and create new jobs

Promotion of local entrepreneurship, through training, information and technical support, in synergy with civil society organizations, to also offer psychosocial support to the most vulnerable categories",TRUE,77 541 12 64 / 33 864 2757,cisvadm@orange.sn,https://cisvto.org/,"Avenue Birago Diop, Rue 5xF","14,69850837","17,46053207",,,,,,,,,,,
24,Plan International,"Promoting children’s rights and equality for girls through working alongside children, their communities, the Senegalese government and civil society organisations.","Protecting children, especially girls, from violence, including during emergencies

Improving health services

Providing children with access to quality, inclusive education, including during emergencies

Supporting young people to gain key skills and get good jobs.",TRUE,33 823 08 27,senegal.co@plan-international.org,https://plan-international.org/senegal,"Cité Keur Gorgui, lot n AD17
Dakar Fann
BP 15042 Dakar
Senegal","14,71329958","-17,46720402",,,https://www.facebook.com/planinternational,https://www.linkedin.com/company/plan-international,https://twitter.com/planglobal,https://www.youtube.com/user/planinternationaltv,https://www.instagram.com/planinternational/,https://www.tiktok.com/@plan.international,,,
25,Croix Rouge Internationale,"The Senegalese leg of Croix Rouge Internationale is an independent and neutral Senegalese social and humanitarian organization that works according to the seven principles of the International Red Cross and Red Crescent Movement, of which it is a member.","Emergency shelter, reception and information, emergency food, emergency clothing, personal services and family reunion.",TRUE,33 823 39 92,,http://www.croix-rouge.sn/ (still in conception phase),"3, Boulevard Franklin D. Roosevelt, Plateau",,,,,,,,,,,,,
26,Caritas,Caritas shares the mission of the Catholic Church to serve the poor and promote charity and justice throughout the world,"Caritas Senegal is actively involved in programs and projects related to risk and disaster management, the fight for human development through access to water and sanitation, the strengthening of production and transformation capacities, the management of migration and advocacy for the respect of human rights",TRUE,338340528,caritas@orange.sn,https://www.caritas.org/ou-nous-trouver/afrique/senegal/?lang=fr,Road of Rufisque Diamaguene Sicap Mbao,,,,,https://www.facebook.com/pages/Caritas/63820026592,,https://twitter.com/iamcaritas,http://www.youtube.com/user/IAmCaritas,https://www.instagram.com/iamcaritas/,,http://www.flickr.com/photos/27673812@N05/,,
27,FAO,Food security for everyone and making sure people get access to high quality,"Promoting decent employment for youth in rural zones, reinforcing food and nutrition security, supporting preservation of ecosystems",FALSE,338891666,FAO-SN@fao.org,https://www.fao.org/senegal/la-fao-au-senegal/en/,"15, Rue Calmette X Rue El-Hadj Amadou Assane Ndoye",,,,,https://www.facebook.com/pages/Food-and-Agriculture-Organization-of-the-United-Nations-FAO/46370758585?ref=mf,https://www.linkedin.com/company/fao,https://twitter.com/FAO/lists/fao-twitter-accounts/members,https://www.youtube.com/user/FAOoftheUN,https://instagram.com/fao,https://www.tiktok.com/@fao,https://www.flickr.com/photos/faooftheun/collections/,https://soundcloud.com/unfao,http://www.slideshare.net/FAOoftheUN
28,GIZ,"helping the country to meet its energy needs while respecting the climate, supporting it in the field of renewable energy and energy efficiency","Programs and projects that include and/or support youth. Assists organizations (public and private) to acquire specialized skills, among others things. Fee-based service ",TRUE,338899600,giz-senegal@giz.de,giz.de,"Regional office : Dakar 109, rue Carnot × El Hadj Mass Diokhané","14,66750734","-17,43824767",,,,https://www.linkedin.com/company/gizgmbh/,https://twitter.com/giz_gmbh,https://www.youtube.com/user/GIZonlineTV,,,,,
29,GRET,A better and more sustainable world,"Proposes projects, supports local citizen movement. Promotes access to water and sanitation for people in rural zones. ",TRUE,338493597,giz-senegal@giz.de,gret.org,"Hann Maristes, route des Pères Maristes ","14,73570456","-17,43442643",,,,,,,,,,,
30,IntraHealth,"Strengthen the country's health systems and bring high-quality

Integrate health services to more communities ","Capacity building for health workers

Use tech and innovation to improve healthcare

Advocacy and sensitization",TRUE,338697479,,https://www.intrahealth.org/countries/senegal,"85, Lot C & E, Sacré Coeur Pyrotechnique","14,7123022","-17,47058451",,,,,,,,,,,
31,IPAR,"To break with the technocratic and top-down approach, experts and development executives have joined forces with peasant leaders, actors from local communities and civil society supporting / accompanying public and private actors at all levels (local, regional and national), by providing them with the information, analyzes and research work necessary for their reflections.","Education, public debates, and research",TRUE,33 869 00 79,,www.ipar.sn,"Immeuble Kër Jacques Faye, Lot 445, Ngor
BP -16788 Dakar-Fann","14,7454952","-17,51423799",,,https://www.facebook.com/IPARNEWS,,,https://www.youtube.com/user/IPARFILMS/,,,,,
32,Médecins sans Frontière,"Providing assistance to populations in distress, to victims of natural or man-made disasters and to victims of armed conflict, regardless of race, religion, creed or political convictions, in the name of universal medical ethics and the right to humanitarian assistance and claims full and unhindered freedom in the exercise of its functions.","Around health, and sensibilisation about conflicts, their consequences, epidemics,  maltreatment",FALSE,,,https://www.msf.org/,,,,,,https://www.facebook.com/msf.english/,https://www.linkedin.com/company/m-decins-sans-fronti-res-msf-/,https://twitter.com/msf,,https://www.instagram.com/doctorswithoutborders/,https://www.tiktok.com/@medecinssansfrontieres,,,
33,OIM,Helping vulnerable migrants in West Africa,Address complex challenges and seize opportunities that migration offers to both migrants and society,TRUE,338696200,rodakar@iom.int,https://rodakar.iom.int/fr/country/s%C3%A9n%C3%A9gal,"Zone 3, Almadies road","14,73870496","-17,51383132",,,https://www.facebook.com/OIMSenegal/,,,,,,,,
34,African Peace Corps,Immersion in a community and working side by side with the local leaders ,"Facilitate immersion to international volunteers in local communities and put them to service in local projects in agriculture, comunity economic development, environment and health",TRUE,338597575,senegaldesk@peacecorps.gov,https://www.peacecorps.gov/senegal/,Almadies Lot N/1 TF 23231,"14,74464178","-17,51544928",8.30-17.30,,https://www.facebook.com/PeaceCorpsSenegal/,,,https://www.youtube.com/user/pcsenegaladmin,https://www.instagram.com/peacecorpssenegal/,,,,
35,PNUD / UNDP,Help goverment and communities reach the 17SDGs,"Financial and technical support for goverment


Financial and technical support to NGOs",TRUE,338596767,registry.sn@undp.org,sn.undp.org,Route King Fahd,"14,73943723","-17,51489373",8.00-17.30,,https://www.facebook.com/PNUDSN/,,https://twitter.com/pnudsenegal/,https://www.youtube.com/channel/UCK1D3d7J0hKgZ774gdg_VoQ,,,,,
36,Positive Planet,Prevent precariousness from emerging and persisting in less advanced countries.,"Capacity building, Education, building leadership, financial education,insurance companies, microfinance institutions ",TRUE,338252000,contact@postiveplanet.ngo,http://international.positiveplanet.ngo/,Point E,"14,69712512","-17,45925557",8.30-18.00,,https://www.facebook.com/positiveplanet.actingpositive,https://www.linkedin.com/company/positiveplanet,https://twitter.com/positiveplanet_?lang=fr,https://www.youtube.com/channel/UC46UmVD4DdcHYnZvhnm-rzg,https://www.instagram.com/positiveplanet_/?hl=fr,,,,
37,Save the Children,Helping children ,"Education, healthcare, advocacy and sensitization,",TRUE,33 865 44 00,scidakar@savethechildren.org,senegal.savethechildren.net,"Route de Ngor, Dakar - Senegal","14,74420417","-17,51098393",8.30-17.30,,,,https://twitter.com/savechildrenSN,https://www.youtube.com/channel/UCVslk_OOtVi9_jTXFVbiYJQ,,,,,
38,Secours Islamique France,improving fondamental services towards sustainable development,"scool support, Education, advocacy, techinal and financial support to organizations and communities",TRUE,,,https://www.secours-islamique.org/senegal.html,,"14,71075501","-17,46652398",9.00 - 18.00,,https://www.facebook.com/SecoursIslamiqueFrance,https://www.linkedin.com/company/secours-islamique-france/,https://twitter.com/SIF_ONG,https://www.youtube.com/channel/UCF7eopLd5J3ZsAQiAcj_1jA?view_as=subscriber,https://www.instagram.com/secoursislamiquefrance/,,,,
39,Sightsavers,prevent avoidable blindness and make sure eye care services are available for everyone who needs them.,"Healthcare, ",TRUE,33 869 45 38,waromail@sightsavers.org,https://www.sightsavers.org/where-we-work/senegal/,"VDN cité Teylium lot 36, 2e étage, Pres du Supermaché Exclusive","14,73680476","-17,47324166",,,https://www.facebook.com/sightsaversUK,https://www.linkedin.com/company/sightsavers/,https://twitter.com/Sightsavers,,https://www.instagram.com/sightsavers/,,,,
40,Solthis,improve prevention and access to quality care by strengthening the health systems and services ,"Capacity training for health workers

Health system reinforcement
",FALSE,,,Solthis au Sénégal - Solthis,,,,,,https://www.facebook.com/Solthis,https://www.linkedin.com/company/solthis/,https://twitter.com/ngosolthis,,,,,,https://vimeo.com/solthis
41,UNESCO,"It seeks to build peace through international cooperation in Education, the Sciences and Culture","School and Education support, promotion and protection of peace, conservation and protection of communities' culture, advocacy, sensitization and research about human rights, protection or the environment",TRUE,33 864 96 00,dakar@unesco.org,https://fr.unesco.org/fieldoffice/dakar/,"Route de Ngor , Enceinte Hôtel Ngor Diarama","14,7500248","-17,50951412",8.00-17.00,,http://facebook.com/UNESCODAK/,,https://twitter.com/UNESCO_Dakar,https://www.youtube.com/user/UNESCODakar,,,,,
42,UNHCR,Helping Refuges,"Financial support, advice for refugees, Education, protection and safety for refugees ",TRUE,221 33 859 7050,senda@unhcr.org,https://www.unhcr.org/senegal.html,"FAALO, route du King Fahd Palace (Ex Meridien)

B.P. 3125, Dakar, Senegal","14,73968921","-17,51529093",8.00-17.00,,https://www.facebook.com/UNHCR,https://www.linkedin.com/company/166589/admin/,https://twitter.com/refugees,https://www.youtube.com/c/unhcr,,https://www.tiktok.com/@refugees?lang=en,,,
43,UNICEF,Helping children,"Education, healthcare, Vaccination, food, advocacy and support for ending violence against children and promoting birth registration",TRUE,33 831 0200,"Communication Specialist: aleclercqbalde@unicef.org

Communication Specialist: diyameogo@unicef.org",https://www.unicef.org/wca/,,"14,74489858","-17,5206923",8.00-17.00,,https://www.facebook.com/UNICEFAfrica/,,https://twitter.com/UNICEFAfrica,,https://www.youtube.com/channel/UCcSmQJpmvDDROR4xN6MKkeA,,,,
44,UNOPS,Help and support to goverments and communities towards sustanaible development,"Financial and technical support for goverment


Financial and technical support to NGOs",FALSE,338693838,info.snoh@unops.org,www.unops.org/fr/senegal,,,,,,https://www.facebook.com/unops.org,https://www.linkedin.com/company/unops,https://twitter.com/UNOPS_fr,,https://www.instagram.com/unops_official/?ref=badge,,,,
45,USAID,"Imrpoving development by creating jobs,  improving access to education and health care, strengthening democratic institutions, and developing the agricultural sector to increase production and income","Education, Healthcare, Job facilitation, capacity building",FALSE,33 879 4000,usaid-senegal@usaid.gov,www.usaid.gov/senegal,"c/o U.S. Embassy, Route des Almadies, B.P. 49 Dakar","14,7452634","-17,52613457","8 - 17.30 , closed Saturday, closed Sunday, Friday 8-13.00",,http://www.facebook.com/USAIDSenegal,,http://www.twitter.com/USAIDSenegal,http://www.youtube.com/user/usaiddakar,,,http://www.flickr.com/photos/55202365@N05/,,
46,ONG Tostan,Help and assistance to senegalese communities,"Education (formal and no formal, capacity reinforcement, Healthcare, financial support to women, female leadership traning ",TRUE,221 33 820 5589,mollymelching@tostan.org,www.tostan.org ,"5 Cité Aelmas,Ouest Foire VDN, en face CICES","14,74749047","-17,4657899",8.30-18.00,,https://www.facebook.com/Tostan.org/,https://www.linkedin.com/company/tostan,https://twitter.com/tostan,https://www.youtube.com/user/TostanInternational,https://www.instagram.com/tostaninc/,,,,
47,Action Pour les Droits Humains et l'Amité,"Promote the essential human rights of asylum seekers, refugees and the youth of Africa","advice, assistance, advocacy",TRUE,77 301 14 98 / 76 393 67 99,actiondha@gmail.com,actiondha.webs.com,"Address: Amitié II Sicap Rue 10 Villa n° 1040 Rez-de-chaussé Dakar, Sénégal",,,,,,,,,,,,,
48,ALEFS (Avec les enfants et les femmes du Sénégal),Help and support to children and women,"Education, Healthcare, psychosocial assistance, entrepreneurship",TRUE,33 957 18 46,alefsmissions@gmail.com,http://alefs.fr/,ALEFS Cité des Enfants Saly Niakh-Niakhal,"14,42671084","-16,99280259",15.00-19.00,,https://web.facebook.com/ALEFSENEGAL/,,,https://www.youtube.com/channel/UChCNij3Imys4M0G_nnVUZaA/featured,,,,,
49,Unies vers’elle,Help and assistance to children and women,"Shelter, healthcare, social reintegration, mediation",TRUE,33 835 45 35 / 77 332 34 78,contacts@uve-senegal.com,http://www.uniesverselle.org/,"Ancien Tribunal Départemental Boite Postale 19920
15000 GUEDIAWAYE Sénégal","14,76920485","-17,38756809",,077 332 34 78,,,,,,,,,
50,Keur talibé,Helping children begging and living on the street,"Food security, renovation and construction of daraas (coranic scool), sensitization",TRUE,779077524,keurtalibendar@gmail.com,www.keurtalibendar.org ,,,,,,https://www.facebook.com/keurtalibendar/,,,,https://www.instagram.com/keur_talibe_ndar/,,,,
51,Empire des enfants,Help and assistance to vulnerable chlidren,"Shelter, healthcare, legal advice and protection, psychosocial assistance, Education",TRUE,775077991,alou.empire@gmail.com,http://empiredesenfants.sn/,"Empire des enfants, Face Delorme, 4 Avenue Cheikh Anta Diop","14,68797483","-17,45649539",,,https://www.facebook.com/Empiredenfants/?ref=br_rs,,,,,,,,
52,ACTED,"Ending poverty, reinforcing NGO and Associations","Climate change, food and nutritional security, social integration",FALSE,,,www.acted.org ,,,,,,https://www.facebook.com/ngoACTED/,https://www.linkedin.com/company/acted/?originalSubdomain=fr,https://twitter.com/ACTED,,https://instagram.com/actedngo,,,,
53,Action Contre la Faim,Global response to food  and nutritional crisis,"Health care to vulnerable people

Water access for every community

Food and nutritional security

Researches and advocacy",TRUE,33 820 05 09,mdiop@wa.acfspain.org,www.actioncontrelafaim.org ,Ngor almadies N°13 Bis Rue NG 96,"14,74445803","-17,50938497",,,https://www.facebook.com/actioncontrelafaim,https://www.linkedin.com/company/action-contre-la-faim/,https://twitter.com/ACF_France,https://www.youtube.com/user/actioncontrelafaim,https://www.instagram.com/actioncontrelafaim/,https://www.tiktok.com/@acf_france,,,
54,Solidarité pour les enfants des rues ,Help to children living on the street,"Shelter, Education, Healthcare, capacity building",TRUE,33 868 70 97 / 77 562 48 95,centreaccueilsper2006@gmail.com,www.solidariteenfantsdesrues.wordpress.com,"HLM Patte d’Oie Villa N° 199

",,,,,Solidarité Pour les Enfants de la Rue | Facebook,,,,,,,,
55,AMOHS Association du mouvement humaniste de saint-louis,Protection of vulnerable youth and children,"Education, psychossocial support, Healthcare, mediation, social reintegration",TRUE,77 919 26 20,amohs150@gmail.com ,,"Saint-louis, Médina Course",,,,,,,,,,,,,
56,Maison de la Gare,Help and assistance to vulnerable people especially children begging and living on the street,"Shelter, Education, Healthcare, professionnal training, spycho-social assistance, legal advise ",TRUE,33 961 30 39 / 77 534 06 60,infos@mdgsl.com ,www.mdgsl.com ,"Av. Charles De Gaulle en face du stade Maitre Babacar Seye
, Balacos, Sor, Saint-Louis BP 150","16,02342884","-16,49222484",9.00-20.00,,http://www.facebook.com/groups/65385443714/,,http://twitter.com/maisondelagare,http://www.youtube.com/maisondelagare,,,,,
57,Association des juristes sénégalaises,Help vulnerable people specially children and women,"legal advice and assistance, healthcare, sensitization, ",TRUE,33 867 34 45 / 77 503 42 64,femjursen@hotmail.fr,www.femmesjuristes.org ,Sud-Foire Cité Sonatel I en face Samu Municipal,"14,73860439","-17,46555458",,,,,,,,,,,
58,ONG Concept,"Support promising sectors, notably those of the social and solidarity economy, sustainable rural development, agri-food and handicrafts (the heart of activities in our very poorly industrialized cities), the promotion of responsible, trained and informed governance and citizenship, the popularization of renewable energies and ICT and their innovative and shared uses.","Education, psychossocial support, professional trading, Healthcare",TRUE,33 835 45 27 / 33 835 45 36,concept@orangesn,www.ongconcept.sn ,Unité 11 Parcelles Assainies villa N378,,,,,,,,,,,,,
59,Action femme Enfant (AFE),Help and assistance to vulnerable women and girls,"Shelter, Scool, Healthcare, professionnal support, psychosocial assistance",TRUE,33 8354527 / 33 835 45 36 / 77 636 07 79 / 70 873 92 12 / 77 511 21 56 / 33 960 08 10,afepikine@hotmail.com,https://actionfemmeenfant.org/contact/,"Pikine/ Angle Tall, près de chez Rawane Ndiaye",,,,,https://www.facebook.com/groups/143882412483438/?ref=share,,,https://www.youtube.com/channel/UCrE_yIWweyY05x_r4LGTu8A,,,,,
60,Village Pilote,Help and assistance to vulnerable children and youth,"Shelter, healthcare, Scool, professionnal trading, psychosocial assistance, job création ",TRUE,776930365 / 33 820 25 21,loic.treguy@villagepilote.org,www.villagepilote.org,"Dakar Gorom 2 / Villa N°15 Yoff Virage Toundoup Rya
BP 3260 Dakar RP","14,76171284","-17,49085148",,,https://www.facebook.com/villagepilote/videos/2220493848239988/,,https://twitter.com/villagepilote?lang=fr,,https://www.instagram.com/villagepilote/,,,,
61,ENDA Tiers Monde,Improve sustanaible development especially in poor countries,,FALSE,33 869 99 61 / 33 869 99 48,se@endatiersmonde.org,endatiersmonde.org/,"Avenue Cheikh Anta Diop X Canal IV, Complexe SICAP Point E Bâtiment B, 1er étage",,,,,https://www.facebook.com/EndaTiersMonde,https://www.linkedin.com/company/enda-tiers-monde/people/,https://twitter.com/EndaTiersMonde,https://www.youtube.com/channel/UCO6_aSzNt8gUMCu8uW95guQ,,,,,
