id,name,objective,,target_groups,contactable,phone_number,email,website,address,region,gender,age_group ,latitude,longitude,opening_hours,hotline,facebook,linkedin,twitter,youtube,instagram,tiktok,flicker,sound_cloud,other
10,African Regional Centre for Technology (ARCT), to be the leading global network of research and technological organisations through collaboration and knowledge sharing for sustainable development.,,Researchers in the TIC field,TRUE,338237712,crat@orange.sn,,"mm. Fahd 12ème Etage, Boulevard Djily Mbaye, Dakar-Plateau
Dakar - Sénégal",Dakar,"female, male, other",adult,,,,,,,,,,,,,
11,Forum for Agricultural Research in Africa (FARA),Agricultural research initiatives in Africa designed to have a continental reach,,"The farming sector, and initiaves/projects that  are related to it",FALSE,00233 0302 744888,info@faraafrica.org,https://faraafrica.org/help/,"No. 9 Flower Avenue, New Achimota Mile 7",Dakar,"female, male, other",adult,5.636610658,-0.2404689023,,,,,,,,,,,
12,Groupe Présence Locale,"GPL aims to create the conditions for a cross exchange between the populations, a synergy of initiatives for sustainable development that must pass through the schooling of all.",,"Children, and people in need of healthcare

Women

People in the farming industry",TRUE,773021112,presencelocale@yahoo.fr,"http://gplsenegal.over-blog.com/


",,Dakar YOFF,"female, male, other","baby, child, youth, adult",,,,,,,,,,,,,
13,Institut africain de gestion urbaine (IAGU),"IAGU's mission is to assist municipalities in West and Central Africa to strengthen their planning and management capacities to build inclusive, prosperous and sustainable cities.",,Waste Management Initiatives,FALSE,338698700,secretariat@iagu.org,http://www.iagu.org/,"N° 26,
Cité Keur Gorgui
Dakar, Sénégal",MBour,,,14.70591,-17.46346,08:30 - 17:00,,https://www.facebook.com/Institut-Africain-de-Gestion-Urbaine-1041395779253958/?fref=ts,https://www.linkedin.com/company-beta/11119436/,https://twitter.com/institut_iagu,,,,,,
14,OSIWA,"OSIWA’s mission is to help build open societies in West Africa, where citizens enjoy the benefits of inclusive policies, good governance, vibrant democracies, transparency, accountability, equity and respect for the rule of law & fundamental human rights.",,Initiatives looking for grants/support/collaboration ,TRUE,33 869 1024/ 33 824 0942,osiwa-dakar@osiwa.org,https://www.osiwa.org/,"Stèle Mermoz
Rue El Hadj Ibrahima Niasse
MZ 83 X MZ 100
B.P. 008 Dakar-Fann, Senegal",Dakar,"female, male, other",adult,14.70441031,-17.47448443,09:00 - 17:00,,https://www.facebook.com/osiwa1/,https://www.linkedin.com/company/osiwa/,https://twitter.com/OSIWA1,https://www.youtube.com/channel/UCt4h0S32SkTPB3s-juknqWw?feature=watch,https://www.instagram.com/essential.stories/,,,,
15,Research and Action Group for Rural Development in the Third World,"GRDR's objectives are:

- To promote citizenship and dignity for all, including migrants, in West Africa, the Maghreb, France and Europe
- To value human mobility as a means of sharing, exchange, openness and progress
- To contribute to the territorial development of the territories where Grdr intervenes in West Africa and the Maghreb while protecting the environment and natural resources
- Encourage the Social and Solidarity Economy and the equitable redistribution of wealth so that local development benefits primarily the most disadvantaged
- Produce and share knowledge to provide local and national decision makers with the information and tools they need",,"People in the rural areas

Researchers and project initiators looking for fundings or engineering



",TRUE,33 867 39 61,ziguinchor@grdr.org,https://www.grdr.org/,Lot 66 Mamelles - 1er étage Ouakam - Dakar - Sénégal,Dakar Fann,"female, male, other","youth, adult",,,,,,,,,,,,,
16,Student and Youth Traveler Organization (SYTO),Supporting youth issues with a particular focus on cultural and academic exchanges and the role that youth can play in community development.,,"Students, Internationals",FALSE,338257429,sytosen@orange.sn,https://sytosenegal.org/," 558, SICAP Baobabs à côté de la Mairie
BP 25075 Dakar-Fann SENEGAL",Dakar,"female, male, other","youth, adult",14.70534336,-17.4628403,,,https://web.facebook.com/SYTOSENEGAL,,https://twitter.com/sytosenegal/,,https://www.instagram.com/syto_senegal,,,,
17,TrustAfrica,TrustAfrica seeks to strengthen African initiatives that address the most difficult challenges confronting the continent. TrustAfrica works principally through collaboration and partnership with like-minded institutions and donors. ,,Initiatives looking for grants/support/collaboration ,TRUE,33 869 46 86/33 824 15 67,info@trustafrica.org,https://www.trustafrica.org/,"Lot 4, Almadies Ngor, Dakar Sénégal","Dakar - Keur , Mbaye Fall-Mbao","female, male, other","youth, adult",14.73871415,-17.51310869,,,http://www.facebook.com/trustafrica,,https://twitter.com/trustafrica,http://www.youtube.com/trustafrica,,,,,
18,UCJG/YMCA-SENEGAL,"To work for the development of an accomplished young person, responsible in their family, a leader in their generation and involved in their community",,"Children, People in the farming sector (farmers and project initiators), youth",TRUE,33 824 13 85,ymcasenegal@ymcasenegal.org,http://www.ymcasenegal.org/,"Avenue Bourguiba x Rue 12, Ben Tally Sénégal",Dakar,"female, male, other","child, youth, adult",14.71784816,-17.45057627,,,,,https://twitter.com/ymcasenegal,https://www.youtube.com/channel/UCs8s6DGSi6SiotMa9qyokSA,,,,,
19,SOS Village,"Giving a family to children in need, helping them build their own future and participate in the development of local communities.",,"Children
Families",TRUE,"33 824 76 82 (Dakar)

33 941 26 26 (Kaolack)

33 967 15 19 (Louga)

76 300 26 29 (Tamba)

33 992 50 78 (Ziguinchor)
","dakar@sos-senegal.sn (Dakar)

vesoskl@orange.sn (Kaolack)

pas@demail.com (Louga)

tamba@sos-senegal.sn (Tamba)

vesoszg@orange.sn (Ziguinchor)
",https://sos-senegal.org/,"Senegal Bureau National Ave Bourguiba X Allées Seydou Nourou TALL B.P. 728, Dakar (5,68 km)
BP 728 Dakar, Sénégal",Dakar,"female, male, other","baby, child, youth, adult",14.71062667,-17.46660466,,,https://web.facebook.com/vesossenegal/?_rdc=1&amp;_rdr,https://www.linkedin.com/company/sos-senegal/,https://twitter.com/soscvsenegal,,,,,,
20,Alima,"ALIMA's goal is to save lives and care for the most vulnerable populations, without any identity, religious or political discrimination, through actions based on proximity, innovation and the alliance of organizations and individuals.",,"Women
Children
Vulnerable people
NGO and development actors",TRUE,77 855 41 59,office@alima.ngo,https://alima.ngo/,"Routes des Almadies, Lot n° 22 zone 9",Dakar,"female, male, other","baby, child, youth, adult",14.73898074,-17.51191979,,,https://www.facebook.com/ALIMA.org/,https://fr.linkedin.com/company/alima,https://twitter.com/ALIMA_ORG,https://www.youtube.com/playlist?list=PLf23Sqs-910Wd0fw8f1rcTItwTqZwNHkp,https://www.instagram.com/alima_org,,,,https://alima-ngo.exposure.co/
21,Amnesty International,Create a bridge between the victims of human rights violations and people all over the world who are willing to help defending and protecting their rights.,,"Children

Women and girls

Other people facing discrimination/violations of human rights",TRUE,338254738,contact@amnesty.sn,www.amnesty.sn,"Sacré cœur 1, villa 8412",Dakar,"female, male, other","baby, child, youth, adult",14.71714846,-17.46379633,09:00 - 18:00,,https://www.facebook.com/AmnestySenegal,,https://www.twitter.com/AmnestySenegal,https://www.youtube.com/c/AmnestyInternationalS%C3%A9n%C3%A9gal,https://www.instagram.com/AmnestySenegal,,,,
22,BirdLife,"Conservation of nature, the protection of the environment and in particular birds, the promotion of biodiversity and the enhancement of ecosystems natural in Senegal",,"Nature, wildlife( especially birds), and human-made systems that interact with/endager birds and their protection ",FALSE,,birdlife-africa@birdlife.org,https://www.birdlife.org/,,Dakar,,,,,09:00 - 18:00,,https://www.facebook.com/BirdLifeInternational,https://www.linkedin.com/company/birdlife-international,https://twitter.com/BirdLife_News,,https://www.instagram.com/birdlife.international/,,,,
23,CISV,"In Senegal, CISV committed to protecting arable land from desertification on the one hand, and the advancing ocean on the other.",,"Individuals looking for capacity building, local entrepreneurs, people in need of mental health support",TRUE,77 541 12 64 / 33 864 2757,cisvadm@orange.sn,https://cisvto.org/,"Avenue Birago Diop, Rue 5xF",Dakar,"female, male, other","youth, adult",14.69850837,17.46053207,,,,,,,,,,,
24,Plan International,"Promoting children’s rights and equality for girls through working alongside children, their communities, the Senegalese government and civil society organisations.",,"Women
Children
Vulnerable people/communities
NGOs and associations",TRUE,33 823 08 27,senegal.co@plan-international.org,https://plan-international.org/senegal,"Cité Keur Gorgui, lot n AD17
Dakar Fann
BP 15042 Dakar
Senegal",Dakar,"female, male, other","baby, child, youth, adult",14.71329958,-17.46720402,,,https://www.facebook.com/planinternational,https://www.linkedin.com/company/plan-international,https://twitter.com/planglobal,https://www.youtube.com/user/planinternationaltv,https://www.instagram.com/planinternational/,https://www.tiktok.com/@plan.international,,,
25,Croix Rouge Internationale,"The Senegalese leg of Croix Rouge Internationale is an independent and neutral Senegalese social and humanitarian organization that works according to the seven principles of the International Red Cross and Red Crescent Movement, of which it is a member.",,"Women
Children
Vulnerable people/communities
NGOs and associations",TRUE,33 823 39 92,,http://www.croix-rouge.sn/ (still in conception phase),"3, Boulevard Franklin D. Roosevelt, Plateau",Dakar,"female, male, other","baby, child, youth, adult",,,,,,,,,,,,,
26,Caritas,Caritas shares the mission of the Catholic Church to serve the poor and promote charity and justice throughout the world,,"Poor people and communities, communities facing natural disasters, other vulnerable communities",TRUE,338340528,caritas@orange.sn,https://www.caritas.org/ou-nous-trouver/afrique/senegal/?lang=fr,Road of Rufisque Diamaguene Sicap Mbao,Dakar/Pikine,"female, male, other","baby, child, youth, adult",,,,,https://www.facebook.com/pages/Caritas/63820026592,,https://twitter.com/iamcaritas,http://www.youtube.com/user/IAmCaritas,https://www.instagram.com/iamcaritas/,,http://www.flickr.com/photos/27673812@N05/,,
27,FAO,Food security for everyone and making sure people get access to high quality,,"Ngos and associations, Youth looking for employement in the rural zones, other initatives related to food and food security",FALSE,338891666,FAO-SN@fao.org,https://www.fao.org/senegal/la-fao-au-senegal/en/,"15, Rue Calmette X Rue El-Hadj Amadou Assane Ndoye",Dakar,,,,,,,https://www.facebook.com/pages/Food-and-Agriculture-Organization-of-the-United-Nations-FAO/46370758585?ref=mf,https://www.linkedin.com/company/fao,https://twitter.com/FAO/lists/fao-twitter-accounts/members,https://www.youtube.com/user/FAOoftheUN,https://instagram.com/fao,https://www.tiktok.com/@fao,https://www.flickr.com/photos/faooftheun/collections/,https://soundcloud.com/unfao,http://www.slideshare.net/FAOoftheUN
28,GIZ,"helping the country to meet its energy needs while respecting the climate, supporting it in the field of renewable energy and energy efficiency",,"Entrepreneurs, Ngos looking for training/engineering",TRUE,338899600,giz-senegal@giz.de,giz.de,"Regional office : Dakar 109, rue Carnot × El Hadj Mass Diokhané",,"female, male, other","youth, adult",14.66750734,-17.43824767,,,,https://www.linkedin.com/company/gizgmbh/,https://twitter.com/giz_gmbh,https://www.youtube.com/user/GIZonlineTV,,,,,
29,GRET,A better and more sustainable world,,"Rural communities, small businesses and local entreprises",TRUE,338493597,giz-senegal@giz.de,gret.org,"Hann Maristes, route des Pères Maristes ",Dakar,"female, male, other","baby, child, youth, adult",14.73570456,-17.43442643,,,,,,,,,,,
30,IntraHealth,"Strengthen the country's health systems and bring high-quality

Integrate health services to more communities ",,"Government, heath workers and other local stakeholders in Senegal",TRUE,338697479,,https://www.intrahealth.org/countries/senegal,"85, Lot C & E, Sacré Coeur Pyrotechnique",Dakar,"female, male, other","youth, adult",14.7123022,-17.47058451,,,,,,,,,,,
31,IPAR,"To break with the technocratic and top-down approach, experts and development executives have joined forces with peasant leaders, actors from local communities and civil society supporting / accompanying public and private actors at all levels (local, regional and national), by providing them with the information, analyzes and research work necessary for their reflections.",,"Journalists, farmers, other people looking for training/education/exchange",TRUE,33 869 00 79,,www.ipar.sn,"Immeuble Kër Jacques Faye, Lot 445, Ngor
BP -16788 Dakar-Fann",Dakar,"female, male, other","youth, adult",14.7454952,-17.51423799,,,https://www.facebook.com/IPARNEWS,,,https://www.youtube.com/user/IPARFILMS/,,,,,
32,Médecins sans Frontière,"Providing assistance to populations in distress, to victims of natural or man-made disasters and to victims of armed conflict, regardless of race, religion, creed or political convictions, in the name of universal medical ethics and the right to humanitarian assistance and claims full and unhindered freedom in the exercise of its functions.",,"People affected by conflict, epidemics, disasters, or exclusion from healthcare",FALSE,,,https://www.msf.org/,,,"female, male, other","baby, child, youth, adult",,,,,https://www.facebook.com/msf.english/,https://www.linkedin.com/company/m-decins-sans-fronti-res-msf-/,https://twitter.com/msf,,https://www.instagram.com/doctorswithoutborders/,https://www.tiktok.com/@medecinssansfrontieres,,,
33,OIM,Helping vulnerable migrants in West Africa,,Migrants In West-Af,TRUE,338696200,rodakar@iom.int,https://rodakar.iom.int/fr/country/s%C3%A9n%C3%A9gal,"Zone 3, Almadies road",Dakar,"female, male, other","baby, child, youth, adult",14.73870496,-17.51383132,,,https://www.facebook.com/OIMSenegal/,,,,,,,,
34,African Peace Corps,Immersion in a community and working side by side with the local leaders ,,Internationals looking for immersion,TRUE,338597575,senegaldesk@peacecorps.gov,https://www.peacecorps.gov/senegal/,Almadies Lot N/1 TF 23231,Dakar,"female, male, other","youth, adult",14.74464178,-17.51544928,8.30-17.30,,https://www.facebook.com/PeaceCorpsSenegal/,,,https://www.youtube.com/user/pcsenegaladmin,https://www.instagram.com/peacecorpssenegal/,,,,
35,PNUD / UNDP,Help goverment and communities reach the 17SDGs,,"Other Ngos and Associations, vulnerable communities, government",TRUE,338596767,registry.sn@undp.org,sn.undp.org,Route King Fahd,Dakar,"female, male, other","baby, child, youth, adult",14.73943723,-17.51489373,8.00-17.30,,https://www.facebook.com/PNUDSN/,,https://twitter.com/pnudsenegal/,https://www.youtube.com/channel/UCK1D3d7J0hKgZ774gdg_VoQ,,,,,
36,Positive Planet,Prevent precariousness from emerging and persisting in less advanced countries.,,"Youth looking for work
Women
People living with disabilities
Vulnerable people",TRUE,338252000,contact@postiveplanet.ngo,http://international.positiveplanet.ngo/,Point E,Dakar,"female, other","youth, adult",14.69712512,-17.45925557,8.30-18.00,,https://www.facebook.com/positiveplanet.actingpositive,https://www.linkedin.com/company/positiveplanet,https://twitter.com/positiveplanet_?lang=fr,https://www.youtube.com/channel/UC46UmVD4DdcHYnZvhnm-rzg,https://www.instagram.com/positiveplanet_/?hl=fr,,,,
36,Positive Planet,Prevent precariousness from emerging and persisting in less advanced countries.,,"Youth looking for work
Women
People living with disabilities
Vulnerable people",TRUE,338252000,contact@postiveplanet.ngo,http://international.positiveplanet.ngo/,Point E,Dakar,"female, male, other",youth,-17.45925557,-17.45925557,8.30-18.00,,,,,,,,,,
37,Save the Children,Helping children ,,Children,TRUE,33 865 44 00,scidakar@savethechildren.org,senegal.savethechildren.net,"Route de Ngor, Dakar - Senegal",Dakar,"female, male, other","baby, child, youth",14.74420417,-17.51098393,8.30-17.30,,,,https://twitter.com/savechildrenSN,https://www.youtube.com/channel/UCVslk_OOtVi9_jTXFVbiYJQ,,,,,
38,Secours Islamique France,improving fondamental services towards sustainable development,,"Orphans, Youth, local communities ",TRUE,,,https://www.secours-islamique.org/senegal.html,,Dakar,"female, male, other","baby, child, youth, adult",14.71075501,-17.46652398,9.00 - 18.00,,https://www.facebook.com/SecoursIslamiqueFrance,https://www.linkedin.com/company/secours-islamique-france/,https://twitter.com/SIF_ONG,https://www.youtube.com/channel/UCF7eopLd5J3ZsAQiAcj_1jA?view_as=subscriber,https://www.instagram.com/secoursislamiquefrance/,,,,
39,Sightsavers,prevent avoidable blindness and make sure eye care services are available for everyone who needs them.,,Marginalized/disabled in need of support/eyecare service,TRUE,33 869 45 38,waromail@sightsavers.org,https://www.sightsavers.org/where-we-work/senegal/,"VDN cité Teylium lot 36, 2e étage, Pres du Supermaché Exclusive",Dakar,"female, male, other","baby, child, youth, adult",14.73680476,-17.47324166,,,https://www.facebook.com/sightsaversUK,https://www.linkedin.com/company/sightsavers/,https://twitter.com/Sightsavers,,https://www.instagram.com/sightsavers/,,,,
40,Solthis,improve prevention and access to quality care by strengthening the health systems and services ,,"Health workers, and health organizations",FALSE,,,Solthis au Sénégal - Solthis,,,"female, male, other","baby, child, youth, adult",,,,,https://www.facebook.com/Solthis,https://www.linkedin.com/company/solthis/,https://twitter.com/ngosolthis,,,,,,https://vimeo.com/solthis
41,UNESCO,"It seeks to build peace through international cooperation in Education, the Sciences and Culture",,"Youth, local communities, vulnerable people",TRUE,33 864 96 00,dakar@unesco.org,https://fr.unesco.org/fieldoffice/dakar/,"Route de Ngor , Enceinte Hôtel Ngor Diarama",Dakar,"female, male, other","baby, child, youth, adult",14.7500248,-17.50951412,8.00-17.00,,http://facebook.com/UNESCODAK/,,https://twitter.com/UNESCO_Dakar,https://www.youtube.com/user/UNESCODakar,,,,,
42,UNHCR,Helping Refuges,,"Refugees, asylum seekers, relocated populations",TRUE,221 33 859 7050,senda@unhcr.org,https://www.unhcr.org/senegal.html,"FAALO, route du King Fahd Palace (Ex Meridien)

B.P. 3125, Dakar, Senegal",Dakar,"female, male, other","baby, child, youth, adult",14.73968921,-17.51529093,8.00-17.00,,https://www.facebook.com/UNHCR,https://www.linkedin.com/company/166589/admin/,https://twitter.com/refugees,https://www.youtube.com/c/unhcr,,https://www.tiktok.com/@refugees?lang=en,,,
43,UNICEF,Helping children,,Children,TRUE,33 831 0200,"Communication Specialist: aleclercqbalde@unicef.org

Communication Specialist: diyameogo@unicef.org",https://www.unicef.org/wca/,,Dakar,"female, male, other","baby, child",14.74489858,-17.5206923,8.00-17.00,,https://www.facebook.com/UNICEFAfrica/,,https://twitter.com/UNICEFAfrica,,https://www.youtube.com/channel/UCcSmQJpmvDDROR4xN6MKkeA,,,,
44,UNOPS,Help and support to goverments and communities towards sustanaible development,,"Government, local communities, other NGOs and associations",FALSE,338693838,info.snoh@unops.org,www.unops.org/fr/senegal,,Dakar,,,,,,,https://www.facebook.com/unops.org,https://www.linkedin.com/company/unops,https://twitter.com/UNOPS_fr,,https://www.instagram.com/unops_official/?ref=badge,,,,
45,USAID,"Imrpoving development by creating jobs,  improving access to education and health care, strengthening democratic institutions, and developing the agricultural sector to increase production and income",," Other NGOs and associations, Youth, Farming sector",FALSE,33 879 4000,usaid-senegal@usaid.gov,www.usaid.gov/senegal,"c/o U.S. Embassy, Route des Almadies, B.P. 49 Dakar",Dakar,"female, male, other","youth, adult",14.7452634,-17.52613457,"8 - 17.30 , closed Saturday, closed Sunday, Friday 8-13.00",,http://www.facebook.com/USAIDSenegal,,http://www.twitter.com/USAIDSenegal,http://www.youtube.com/user/usaiddakar,,,http://www.flickr.com/photos/55202365@N05/,,
46,ONG Tostan,Help and assistance to senegalese communities,,"rural communities, vulnerable chilrdren and women",TRUE,221 33 820 5589,mollymelching@tostan.org,www.tostan.org ,"5 Cité Aelmas,Ouest Foire VDN, en face CICES",Dakar,"female, male, other","baby, child, youth, adult",14.74749047,-17.4657899,8.30-18.00,,https://www.facebook.com/Tostan.org/,https://www.linkedin.com/company/tostan,https://twitter.com/tostan,https://www.youtube.com/user/TostanInternational,https://www.instagram.com/tostaninc/,,,,
47,Action Pour les Droits Humains et l'Amité,"Promote the essential human rights of asylum seekers, refugees and the youth of Africa",,"Refugees, asylum seekers",TRUE,77 301 14 98 / 76 393 67 99,actiondha@gmail.com,actiondha.webs.com,"Address: Amitié II Sicap Rue 10 Villa n° 1040 Rez-de-chaussé Dakar, Sénégal",Dakar,"female, male, other","baby, child, youth, adult",,,,,,,,,,,,,
48,ALEFS (Avec les enfants et les femmes du Sénégal),Help and support to children and women,,"Talibés, other young vulenrable boys and girls, women",TRUE,33 957 18 46,alefsmissions@gmail.com,http://alefs.fr/,ALEFS Cité des Enfants Saly Niakh-Niakhal,Mbour,"female, other","youth, adult",14.42671084,-16.99280259,15.00-19.00,,https://web.facebook.com/ALEFSENEGAL/,,,https://www.youtube.com/channel/UChCNij3Imys4M0G_nnVUZaA/featured,,,,,
48,ALEFS (Avec les enfants et les femmes du Sénégal),Help and support to children and women,,"Talibés, other young vulenrable boys and girls, women",TRUE,33 957 18 46,alefsmissions@gmail.com,http://alefs.fr/,ALEFS Cité des Enfants Saly Niakh-Niakhal,Mbour,"female, male, other","baby, child, youth",14.42671084,-16.99280259,15.00-19.00,,,,,,,,,,
49,Unies vers’elle,Help and assistance to children and women,,"Victims of abuse, vulnerable women and children, people looking for shelter or mental health support",TRUE,33 835 45 35 / 77 332 34 78,contacts@uve-senegal.com,http://www.uniesverselle.org/,"Ancien Tribunal Départemental Boite Postale 19920
15000 GUEDIAWAYE Sénégal",Dakar,"female, other",adult,14.76920485,-17.38756809,,077 332 34 78,,,,,,,,,
49,Unies vers’elle,Help and assistance to children and women,,"Victims of abuse, vulnerable women and children, people looking for shelter or mental health support",TRUE,33 835 45 35 / 77 332 34 78,contacts@uve-senegal.com,http://www.uniesverselle.org/,"Ancien Tribunal Départemental Boite Postale 19920
15000 GUEDIAWAYE Sénégal",Dakar,"female, male, other","baby, child,youth",14.76920485,-17.38756809,,077 332 34 78,,,,,,,,,
50,Keur talibé,Helping children begging and living on the street,,"Talibés, street kids ",TRUE,779077524,keurtalibendar@gmail.com,www.keurtalibendar.org ,,Saint-Louis,"female, male, other","baby, child, youth",,,,,https://www.facebook.com/keurtalibendar/,,,,https://www.instagram.com/keur_talibe_ndar/,,,,
51,Empire des enfants,Help and assistance to vulnerable chlidren,,Vulnerable children,TRUE,775077991,alou.empire@gmail.com,http://empiredesenfants.sn/,"Empire des enfants, Face Delorme, 4 Avenue Cheikh Anta Diop",Dakar,"female, male, other","baby, child, youth",14.68797483,-17.45649539,,,https://www.facebook.com/Empiredenfants/?ref=br_rs,,,,,,,,
52,ACTED,"Ending poverty, reinforcing NGO and Associations",,Poor people and communities,FALSE,,,www.acted.org ,,Dakar,,,,,,,https://www.facebook.com/ngoACTED/,https://www.linkedin.com/company/acted/?originalSubdomain=fr,https://twitter.com/ACTED,,https://instagram.com/actedngo,,,,
53,Action Contre la Faim,Global response to food  and nutritional crisis,,"Vulnerable people and communities in need of healthcare, job facilitation, or food security",TRUE,33 820 05 09,mdiop@wa.acfspain.org,www.actioncontrelafaim.org ,Ngor almadies N°13 Bis Rue NG 96,Dakar / Yoff,"female, male, other","baby, child, youth, adult",14.74445803,-17.50938497,,,https://www.facebook.com/actioncontrelafaim,https://www.linkedin.com/company/action-contre-la-faim/,https://twitter.com/ACF_France,https://www.youtube.com/user/actioncontrelafaim,https://www.instagram.com/actioncontrelafaim/,https://www.tiktok.com/@acf_france,,,
54,Solidarité pour les enfants des rues ,Help to children living on the street,,Children,TRUE,33 868 70 97 / 77 562 48 95,centreaccueilsper2006@gmail.com,www.solidariteenfantsdesrues.wordpress.com,"HLM Patte d’Oie Villa N° 199

",Dakar,"female, male, other","baby, child, youth",,,,,,,,,,,,,
55,AMOHS Association du mouvement humaniste de saint-louis,Protection of vulnerable youth and children,,Youth ,TRUE,77 919 26 20,amohs150@gmail.com ,,"Saint-louis, Médina Course",Saint-Louis,"female, male, other","baby, child, youth",,,,,,,,,,,,,
56,Maison de la Gare,Help and assistance to vulnerable people especially children begging and living on the street,,"Children
Youth
Vulnerable persons",TRUE,33 961 30 39 / 77 534 06 60,infos@mdgsl.com ,www.mdgsl.com ,"Av. Charles De Gaulle en face du stade Maitre Babacar Seye
, Balacos, Sor, Saint-Louis BP 150",Saint-Louis,"female, male, other","baby, child, youth, adult",16.02342884,-16.49222484,9.00-20.00,,http://www.facebook.com/groups/65385443714/,,http://twitter.com/maisondelagare,http://www.youtube.com/maisondelagare,,,,,
57,Association des juristes sénégalaises,Help vulnerable people specially children and women,,"Women, children, and other vulnerable people",TRUE,33 867 34 45 / 77 503 42 64,femjursen@hotmail.fr,www.femmesjuristes.org ,Sud-Foire Cité Sonatel I en face Samu Municipal,Dakar,female,adult,14.73860439,-17.46555458,,,,,,,,,,,
57,Association des juristes sénégalaises,Help vulnerable people specially children and women,,"Women, children, and other vulnerable people",TRUE,33 867 34 45 / 77 503 42 64,femjursen@hotmail.fr,www.femmesjuristes.org ,Sud-Foire Cité Sonatel I en face Samu Municipal,Dakar,"female, male, other","baby, child, youth",14.73860439,-17.46555458,,,,,,,,,,,
